position,TerrainHeight,Sun Visibility 60m,Polar Winter Min Temp,lon,lat
0.286418,1302.411761,0.38596,56.902275,44.903977,-89.895973
0.289282,1302.412673,0.38596,56.902275,44.922353,-89.895885
0.292146,1302.402123,0.38596,56.902275,44.940697,-89.895796
0.295011,1302.411899,0.38596,56.902275,44.95901,-89.895708
0.297875,1302.432186,0.38596,56.902275,44.977293,-89.895619
0.300739,1302.452092,0.38596,56.902275,44.995544,-89.895531
0.303603,1302.492955,0.38596,56.902275,45.013765,-89.895443
0.306467,1302.53,0.38596,56.902275,45.031954,-89.895354
0.309332,1302.5822,0.38596,56.902275,45.050113,-89.895266
0.312196,1302.63,0.38596,56.902275,45.068242,-89.895177
0.31506,1302.68,0.38596,56.902275,45.08634,-89.895089
0.317924,1302.741466,0.38596,56.902275,45.104407,-89.895
0.320788,1302.81,0.38596,56.902275,45.122444,-89.894912
0.323652,1302.89,0.38596,56.902275,45.14045,-89.894823
0.326517,1303,0.38596,56.902275,45.158427,-89.894735
0.329381,1303.13,0.38596,56.902275,45.176373,-89.894646
0.332245,1303.29,0.38596,56.902275,45.194289,-89.894558
0.335109,1303.371857,0.38596,56.902275,45.212175,-89.894469
0.337973,1303.33,0.38596,56.902275,45.230031,-89.894381
0.340838,1303.31,0.38596,56.902275,45.247857,-89.894292
0.343702,1303.351445,0.33884,56.902275,45.265653,-89.894204
0.346566,1303.411487,0.33884,56.902275,45.283419,-89.894115
0.34943,1303.482422,0.33884,56.902275,45.301156,-89.894027
0.352294,1303.45,0.33884,56.902275,45.318863,-89.893938
0.355158,1303.27,0.33884,56.902275,45.33654,-89.893849
0.358023,1303.143268,0.33884,56.902275,45.354188,-89.893761
0.360887,1303.163555,0.33884,56.902275,45.371807,-89.893672
0.363751,1303.28,0.33884,56.902275,45.389396,-89.893584
0.366615,1303.43,0.33884,56.902275,45.406956,-89.893495
0.369479,1303.49,0.33884,56.902275,45.424487,-89.893406
0.372344,1303.403467,0.33884,56.902275,45.441989,-89.893318
0.375208,1303.251079,0.33884,56.902275,45.459461,-89.893229
0.378072,1303.04,0.33884,56.902275,45.476905,-89.89314
0.380936,1302.75,0.33884,56.902275,45.494319,-89.893052
