position,TerrainHeight,Sun Visibility 60m,Polar Summer Max Temp,lon,lat
0.289279,1302.41,0.38596,245.24826,44.923132,-89.895884
0.292143,1302.41,0.38596,245.24826,44.941473,-89.895795
0.295007,1302.41,0.38596,245.24826,44.959783,-89.895707
0.297871,1302.43,0.38596,245.24826,44.978062,-89.895618
0.300736,1302.46,0.38596,245.24826,44.99631,-89.89553
0.3036,1302.492223,0.38596,245.24826,45.014528,-89.895442
0.306464,1302.542802,0.38596,245.24826,45.032714,-89.895353
0.309328,1302.58,0.38596,245.24826,45.05087,-89.895265
0.312192,1302.63,0.38596,245.24826,45.068995,-89.895176
0.315056,1302.69,0.38596,245.24826,45.08709,-89.895088
0.31792,1302.75,0.38596,245.24826,45.105154,-89.894999
0.320785,1302.821776,0.38596,245.24826,45.123188,-89.894911
0.323649,1302.9,0.38596,245.24826,45.141191,-89.894822
0.326513,1303,0.38596,245.24826,45.159164,-89.894734
0.329377,1303.13,0.38596,245.24826,45.177107,-89.894645
0.332241,1303.3,0.38596,245.24826,45.19502,-89.894557
0.335105,1303.38,0.38596,245.24826,45.212902,-89.894468
0.33797,1303.331836,0.38596,245.24826,45.230755,-89.89438
0.340834,1303.32,0.38596,245.24826,45.248578,-89.894291
0.343698,1303.35,0.33884,245.24826,45.266371,-89.894203
0.346562,1303.41,0.33884,245.24826,45.284134,-89.894114
0.349426,1303.48,0.33884,245.24826,45.301868,-89.894025
0.35229,1303.46,0.33884,245.24826,45.319572,-89.893937
0.355154,1303.27,0.33884,245.24826,45.337246,-89.893848
0.358019,1303.14,0.33884,245.24826,45.354891,-89.89376
0.360883,1303.17,0.33884,245.24826,45.372506,-89.893671
0.363747,1303.29,0.33884,245.24826,45.390093,-89.893582
0.366611,1303.44155,0.33884,245.24826,45.407649,-89.893494
0.369475,1303.49,0.33884,245.24826,45.425177,-89.893405
0.372339,1303.4,0.33884,245.24826,45.442676,-89.893316
0.375203,1303.25,0.33884,245.24826,45.460145,-89.893228
0.378068,1303.04,0.33884,245.24826,45.477586,-89.893139
0.380932,1302.750723,0.33884,245.24826,45.494997,-89.89305
0.383796,1302.46,0.33884,245.24826,45.51238,-89.892962
0.38666,1302.3,0.33884,245.24826,45.529734,-89.892873
0.389524,1302.21,0.33884,245.24826,45.547059,-89.892784
0.392388,1302.16,0.33884,245.24826,45.564356,-89.892696
0.395253,1302.13,0.33884,245.24826,45.581624,-89.892607
0.398117,1302.11,0.33884,245.24826,45.598863,-89.892518
0.400981,1302.091707,0.38884,245.24826,45.616074,-89.892429
0.403845,1302.07,0.38884,245.24826,45.633257,-89.892341
0.406709,1302.05,0.38884,245.24826,45.650411,-89.892252
0.409573,1302.11137,0.37192,245.24826,45.667537,-89.892163
0.412437,1302.21,0.37192,245.24826,45.684635,-89.892074
0.415302,1302.4,0.37192,245.24826,45.701705,-89.891985
0.418166,1302.77,0.37192,245.24826,45.718746,-89.891897
0.42103,1303.22,0.37192,245.24826,45.73576,-89.891808
0.423894,1303.691068,0.37192,245.24826,45.752746,-89.891719
0.426758,1304.131843,0.37192,245.24826,45.769704,-89.89163
0.429622,1304.54,0.37192,245.24826,45.786634,-89.891541
0.432486,1304.92,0.37192,245.24826,45.803536,-89.891452
