position,Sun Visibility 60m,lon,lat
0.159,0.365313,44.785732,-89.692603
0.16,0.365251,44.790021,-89.692579
0.161,0.365195,44.79431,-89.692556
0.162,0.365445,44.798599,-89.692532
0.163,0.366291,44.802886,-89.692508
0.164,0.367471,44.807173,-89.692485
0.165,0.368641,44.81146,-89.692461
0.166,0.369821,44.815745,-89.692437
0.167,0.37099,44.82003,-89.692414
0.168,0.372169,44.824315,-89.69239
0.169,0.373346,44.828598,-89.692367
0.17,0.374518,44.832881,-89.692343
0.171,0.375692,44.837164,-89.692319
0.172,0.37687,44.841445,-89.692296
0.173,0.378049,44.845726,-89.692272
0.174,0.379223,44.850007,-89.692248
0.175,0.380403,44.854287,-89.692225
0.176,0.381573,44.858566,-89.692201
0.177,0.382754,44.862844,-89.692177
0.178,0.383929,44.867122,-89.692154
0.179,0.385101,44.871399,-89.69213
0.18,0.386284,44.875676,-89.692106
0.181,0.38746,44.879951,-89.692083
0.182,0.388637,44.884226,-89.692059
0.183,0.389814,44.888501,-89.692035
0.184,0.390991,44.892775,-89.692012
0.185,0.39217,44.897048,-89.691988
0.186,0.393353,44.90132,-89.691964
0.187,0.394528,44.905592,-89.691941
0.188,0.395703,44.909864,-89.691917
0.189,0.396882,44.914134,-89.691893
0.19,0.398061,44.918404,-89.69187
0.191,0.399241,44.922673,-89.691846
0.192,0.40042,44.926942,-89.691822
0.193,0.401596,44.93121,-89.691799
0.194,0.402781,44.935477,-89.691775
0.195,0.403959,44.939744,-89.691751
0.195398,0.404428,44.941442,-89.691742
0.196398,0.404122,44.937021,-89.691719
0.197398,0.403972,44.932601,-89.691696
0.198398,0.403822,44.928182,-89.691673
0.199398,0.403683,44.923763,-89.691651
0.200398,0.403576,44.919345,-89.691628
0.201398,0.403429,44.914927,-89.691605
0.202398,0.403263,44.910511,-89.691582
0.203398,0.403137,44.906094,-89.691559
0.204398,0.402971,44.901679,-89.691536
0.205398,0.402842,44.897264,-89.691513
0.206398,0.402675,44.89285,-89.691491
0.207398,0.402516,44.888436,-89.691468
0.208398,0.402375,44.884023,-89.691445
0.209398,0.402116,44.879611,-89.691422
0.210398,0.401794,44.8752,-89.691399
0.211398,0.401464,44.870789,-89.691376
0.212398,0.401132,44.866378,-89.691353
0.213398,0.400818,44.861969,-89.691331
0.214398,0.400498,44.85756,-89.691308
0.215398,0.400212,44.853151,-89.691285
0.216398,0.399873,44.848744,-89.691262
0.217398,0.39955,44.844337,-89.691239
0.218398,0.399264,44.83993,-89.691216
0.219398,0.398929,44.835525,-89.691193
0.220398,0.398614,44.83112,-89.69117
0.221398,0.398308,44.826715,-89.691147
0.222398,0.397971,44.822311,-89.691125
0.223398,0.397668,44.817908,-89.691102
0.224398,0.39737,44.813506,-89.691079
0.225398,0.397043,44.809104,-89.691056
0.226398,0.396733,44.804703,-89.691033
0.227398,0.396403,44.800303,-89.69101
0.228398,0.396121,44.795903,-89.690987
0.229398,0.395775,44.791504,-89.690964
0.230398,0.395453,44.787105,-89.690941
0.231398,0.395168,44.782707,-89.690918
0.232398,0.394862,44.77831,-89.690896
0.233398,0.394537,44.773913,-89.690873
0.234398,0.394215,44.769517,-89.69085
0.235398,0.393885,44.765122,-89.690827
0.236398,0.393596,44.760728,-89.690804
0.237398,0.393303,44.756334,-89.690781
0.238398,0.392956,44.75194,-89.690758
0.239398,0.392659,44.747548,-89.690735
0.240398,0.392339,44.743156,-89.690712
0.241398,0.392053,44.738764,-89.690689
0.242398,0.39175,44.734374,-89.690666
0.243398,0.391431,44.729983,-89.690643
0.244398,0.391105,44.725594,-89.690621
0.245398,0.390801,44.721205,-89.690598
0.246398,0.390477,44.716817,-89.690575
0.247398,0.390183,44.71243,-89.690552
0.248398,0.389837,44.708043,-89.690529
0.249398,0.389559,44.703657,-89.690506
0.250398,0.389259,44.699271,-89.690483
0.251398,0.388957,44.694886,-89.69046
0.252398,0.388645,44.690502,-89.690437
0.253398,0.388328,44.686119,-89.690414
0.254398,0.388015,44.681736,-89.690391
0.255398,0.38769,44.677354,-89.690368
0.256398,0.38739,44.672972,-89.690345
0.257398,0.387096,44.668591,-89.690322
0.258398,0.386781,44.664211,-89.690299
0.259398,0.38646,44.659831,-89.690276
0.260398,0.386164,44.655452,-89.690253
0.261398,0.385862,44.651074,-89.69023
0.262398,0.385559,44.646696,-89.690207
0.263398,0.385245,44.642319,-89.690184
0.264398,0.384946,44.637942,-89.690162
0.265398,0.384628,44.633567,-89.690139
0.266398,0.384312,44.629192,-89.690116
0.267398,0.383993,44.624817,-89.690093
0.268398,0.383816,44.620443,-89.69007
0.269398,0.383892,44.61607,-89.690047
0.270398,0.384151,44.611698,-89.690024
0.271398,0.384388,44.607326,-89.690001
0.272398,0.38464,44.602954,-89.689978
0.273398,0.384897,44.598584,-89.689955
0.274398,0.385136,44.594214,-89.689932
0.275398,0.385379,44.589845,-89.689909
0.276398,0.385624,44.585476,-89.689886
0.277398,0.385879,44.581108,-89.689863
0.278398,0.386135,44.576741,-89.68984
0.279398,0.386399,44.572374,-89.689817
0.280398,0.386617,44.568008,-89.689794
0.281398,0.386888,44.563643,-89.689771
0.282398,0.387142,44.559278,-89.689748
0.283398,0.387397,44.554914,-89.689725
0.284398,0.387636,44.55055,-89.689702
0.285398,0.387898,44.546188,-89.689679
0.286398,0.388165,44.541825,-89.689656
0.287398,0.388413,44.537464,-89.689633
0.288398,0.388666,44.533103,-89.68961
0.289398,0.388938,44.528743,-89.689587
0.290398,0.389203,44.524383,-89.689564
0.291398,0.389468,44.520024,-89.689541
0.292398,0.389708,44.515666,-89.689518
0.293398,0.389959,44.511308,-89.689495
0.294398,0.390225,44.506951,-89.689472
0.295398,0.390511,44.502595,-89.689449
0.296398,0.390754,44.498239,-89.689426
0.297398,0.391018,44.493884,-89.689403
0.298398,0.391286,44.48953,-89.68938
0.299398,0.391543,44.485176,-89.689357
0.300398,0.391796,44.480823,-89.689334
0.301398,0.392054,44.476471,-89.68931
0.302398,0.392322,44.472119,-89.689287
0.303398,0.392603,44.467768,-89.689264
0.304398,0.392853,44.463417,-89.689241
0.305398,0.39312,44.459067,-89.689218
0.306398,0.393386,44.454718,-89.689195
0.307398,0.393658,44.450369,-89.689172
0.308398,0.393934,44.446021,-89.689149
0.309398,0.394196,44.441674,-89.689126
0.310398,0.394464,44.437327,-89.689103
0.311398,0.394738,44.432981,-89.68908
0.312398,0.395011,44.428636,-89.689057
0.313398,0.395274,44.424291,-89.689034
0.314398,0.395539,44.419947,-89.689011
0.315398,0.395813,44.415604,-89.688988
0.316398,0.39608,44.411261,-89.688965
0.317398,0.396348,44.406919,-89.688942
0.318398,0.396622,44.402577,-89.688919
0.319398,0.39691,44.398236,-89.688896
0.320398,0.397196,44.393896,-89.688872
0.321398,0.39747,44.389557,-89.688849
0.322398,0.397744,44.385218,-89.688826
0.323398,0.398013,44.380879,-89.688803
0.324398,0.398292,44.376542,-89.68878
0.325398,0.398563,44.372205,-89.688757
0.326398,0.398841,44.367868,-89.688734
0.327398,0.399111,44.363533,-89.688711
0.328398,0.399343,44.359197,-89.688688
0.329398,0.39947,44.354863,-89.688665
0.330398,0.399529,44.350529,-89.688642
0.331398,0.39958,44.346196,-89.688619
0.332398,0.399642,44.341864,-89.688596
0.333398,0.399691,44.337532,-89.688572
0.334398,0.399749,44.333201,-89.688549
0.335398,0.399804,44.32887,-89.688526
0.336398,0.399864,44.32454,-89.688503
0.337398,0.399893,44.320211,-89.68848
0.338398,0.399948,44.315882,-89.688457
0.339398,0.400006,44.311554,-89.688434
0.340398,0.40005,44.307227,-89.688411
0.341398,0.400102,44.3029,-89.688388
0.342398,0.400153,44.298574,-89.688365
0.343398,0.400217,44.294248,-89.688341
0.344398,0.400246,44.289924,-89.688318
0.345398,0.400287,44.285599,-89.688295
0.346398,0.40035,44.281276,-89.688272
0.347398,0.400397,44.276953,-89.688249
0.348398,0.400448,44.272631,-89.688226
0.348479,0.400447,44.272282,-89.688224
0.349479,0.399809,44.268094,-89.688248
0.350479,0.399488,44.263904,-89.688272
0.351479,0.399167,44.259715,-89.688296
0.352479,0.398846,44.255524,-89.688319
0.353479,0.398521,44.251333,-89.688343
0.354479,0.398196,44.247142,-89.688367
0.355479,0.397876,44.242949,-89.688391
0.356479,0.39757,44.238756,-89.688415
0.357479,0.397272,44.234563,-89.688438
0.358479,0.396955,44.230368,-89.688462
0.359479,0.396636,44.226173,-89.688486
0.360479,0.396318,44.221978,-89.68851
0.361479,0.396,44.217782,-89.688534
0.362479,0.39568,44.213585,-89.688558
0.363479,0.395363,44.209388,-89.688581
0.364479,0.395051,44.205189,-89.688605
0.365479,0.394734,44.200991,-89.688629
0.366479,0.394417,44.196791,-89.688653
0.367479,0.394104,44.192591,-89.688677
0.368479,0.393793,44.188391,-89.6887
0.369479,0.393479,44.184189,-89.688724
0.370479,0.393173,44.179987,-89.688748
0.371479,0.392878,44.175785,-89.688772
0.372479,0.392574,44.171582,-89.688796
0.373479,0.392254,44.167378,-89.688819
0.374479,0.39194,44.163173,-89.688843
0.375479,0.391631,44.158968,-89.688867
0.376479,0.391333,44.154762,-89.688891
0.377479,0.390956,44.150556,-89.688915
0.378479,0.390421,44.146349,-89.688938
0.379479,0.389776,44.142141,-89.688962
0.380479,0.389146,44.137932,-89.688986
0.381479,0.38851,44.133723,-89.68901
0.382479,0.387873,44.129514,-89.689033
0.383479,0.387238,44.125303,-89.689057
0.384479,0.386605,44.121092,-89.689081
0.385479,0.385969,44.116881,-89.689105
0.386479,0.385346,44.112669,-89.689129
0.387479,0.384713,44.108456,-89.689152
0.388479,0.384086,44.104242,-89.689176
0.389479,0.38344,44.100028,-89.6892
0.390479,0.382793,44.095813,-89.689224
0.391479,0.382168,44.091598,-89.689247
0.392479,0.381538,44.087382,-89.689271
0.393479,0.38092,44.083165,-89.689295
0.394479,0.380306,44.078947,-89.689319
0.395479,0.379679,44.074729,-89.689342
0.396479,0.37905,44.070511,-89.689366
0.397479,0.378434,44.066291,-89.68939
0.398479,0.377819,44.062071,-89.689414
0.399479,0.377193,44.057851,-89.689437
0.400479,0.376582,44.05363,-89.689461
0.401479,0.37597,44.049408,-89.689485
0.402479,0.375349,44.045185,-89.689509
0.403479,0.374742,44.040962,-89.689532
0.404479,0.374128,44.036738,-89.689556
0.405479,0.373506,44.032513,-89.68958
0.406479,0.372907,44.028288,-89.689604
0.407479,0.372297,44.024062,-89.689627
0.408479,0.371688,44.019836,-89.689651
0.409479,0.371089,44.015609,-89.689675
0.410479,0.370465,44.011381,-89.689699
0.411479,0.36985,44.007153,-89.689722
0.412479,0.36927,44.002924,-89.689746
0.413479,0.368637,43.998694,-89.68977
0.414479,0.368053,43.994464,-89.689794
0.415479,0.36746,43.990233,-89.689817
0.416479,0.366834,43.986001,-89.689841
0.417479,0.366234,43.981769,-89.689865
0.418479,0.365647,43.977536,-89.689888
0.419479,0.365038,43.973302,-89.689912
0.420479,0.364455,43.969068,-89.689936
0.421479,0.363872,43.964833,-89.68996
0.422479,0.363249,43.960598,-89.689983
0.423479,0.362661,43.956362,-89.690007
0.424479,0.362072,43.952125,-89.690031
0.425479,0.361496,43.947888,-89.690054
0.426479,0.360901,43.943649,-89.690078
0.427479,0.36032,43.939411,-89.690102
0.428479,0.359726,43.935171,-89.690126
0.429479,0.359137,43.930931,-89.690149
0.430479,0.358557,43.926691,-89.690173
0.431479,0.357946,43.922449,-89.690197
0.432479,0.357374,43.918207,-89.69022
0.433479,0.356789,43.913965,-89.690244
0.434479,0.35621,43.909721,-89.690268
0.435479,0.355628,43.905477,-89.690291
0.436479,0.355043,43.901233,-89.690315
0.437479,0.354751,43.896988,-89.690339
0.438479,0.355377,43.892742,-89.690362
0.439479,0.356559,43.888495,-89.690386
0.440479,0.357759,43.884248,-89.69041
0.441479,0.35892,43.88,-89.690434
0.442479,0.360135,43.875752,-89.690457
0.443479,0.36131,43.871502,-89.690481
0.444479,0.362503,43.867253,-89.690505
0.445479,0.363683,43.863002,-89.690528
0.446479,0.364861,43.858751,-89.690552
0.447479,0.366056,43.854499,-89.690576
0.448479,0.367223,43.850247,-89.690599
0.449479,0.368399,43.845994,-89.690623
0.450479,0.369559,43.84174,-89.690647
0.451479,0.370742,43.837486,-89.69067
0.452479,0.37193,43.833231,-89.690694
0.453479,0.373105,43.828975,-89.690718
0.454479,0.374248,43.824719,-89.690741
0.455479,0.375424,43.820462,-89.690765
0.456479,0.376604,43.816205,-89.690789
0.457479,0.377772,43.811946,-89.690812
0.458479,0.378929,43.807687,-89.690836
0.459479,0.380084,43.803428,-89.690859
0.460479,0.381259,43.799168,-89.690883
0.461479,0.382418,43.794907,-89.690907
0.462479,0.383588,43.790645,-89.69093
0.463479,0.384739,43.786383,-89.690954
0.464479,0.385892,43.78212,-89.690978
0.465479,0.387044,43.777857,-89.691001
0.466479,0.388201,43.773593,-89.691025
0.467479,0.389367,43.769328,-89.691049
0.468479,0.390503,43.765063,-89.691072
0.469479,0.391645,43.760797,-89.691096
0.470479,0.392795,43.75653,-89.69112
0.471479,0.393958,43.752262,-89.691143
0.472479,0.395097,43.747994,-89.691167
0.473479,0.396239,43.743726,-89.69119
0.474479,0.397395,43.739456,-89.691214
0.475479,0.398526,43.735186,-89.691238
0.476479,0.399657,43.730916,-89.691261
0.477479,0.400797,43.726644,-89.691285
0.478479,0.401945,43.722373,-89.691308
0.479479,0.403074,43.7181,-89.691332
0.480479,0.404204,43.713827,-89.691356
0.481479,0.405337,43.709553,-89.691379
0.482479,0.406473,43.705278,-89.691403
0.483479,0.407599,43.701003,-89.691427
0.484479,0.408733,43.696727,-89.69145
0.485479,0.409872,43.692451,-89.691474
0.486479,0.410991,43.688173,-89.691497
0.487479,0.412102,43.683896,-89.691521
0.488479,0.41323,43.679617,-89.691545
0.489479,0.414364,43.675338,-89.691568
0.490479,0.415478,43.671058,-89.691592
0.491479,0.416581,43.666778,-89.691615
0.492479,0.417705,43.662497,-89.691639
0.493479,0.418833,43.658215,-89.691663
0.494479,0.419951,43.653932,-89.691686
0.495479,0.421063,43.649649,-89.69171
0.496479,0.422164,43.645366,-89.691733
0.497479,0.42299,43.641081,-89.691757
0.498479,0.422871,43.636796,-89.69178
0.499479,0.422109,43.63251,-89.691804
0.500479,0.421345,43.628224,-89.691828
0.501479,0.42058,43.623937,-89.691851
0.502479,0.419815,43.619649,-89.691875
0.503479,0.419052,43.615361,-89.691898
0.504479,0.418287,43.611072,-89.691922
0.505479,0.417523,43.606783,-89.691946
0.506479,0.416753,43.602492,-89.691969
0.507479,0.415989,43.598201,-89.691993
0.508479,0.415224,43.59391,-89.692016
0.509479,0.414457,43.589617,-89.69204
0.510479,0.413693,43.585325,-89.692063
0.511479,0.412928,43.581031,-89.692087
0.512479,0.412159,43.576737,-89.69211
0.513479,0.411382,43.572442,-89.692134
0.514479,0.410616,43.568146,-89.692158
0.515479,0.409849,43.56385,-89.692181
0.516479,0.409077,43.559553,-89.692205
0.517479,0.408295,43.555256,-89.692228
0.518479,0.407533,43.550958,-89.692252
0.519479,0.406767,43.546659,-89.692275
0.520479,0.405995,43.542359,-89.692299
0.521479,0.40521,43.538059,-89.692322
0.522479,0.40444,43.533758,-89.692346
0.523479,0.403675,43.529457,-89.692369
0.524479,0.402911,43.525155,-89.692393
0.525479,0.402144,43.520852,-89.692417
0.526479,0.401378,43.516548,-89.69244
0.527479,0.400599,43.512244,-89.692464
0.528479,0.399806,43.50794,-89.692487
0.529479,0.39904,43.503634,-89.692511
0.530479,0.398272,43.499328,-89.692534
0.531479,0.397502,43.495021,-89.692558
0.532479,0.396736,43.490714,-89.692581
0.533479,0.395968,43.486406,-89.692605
0.534211,0.395406,43.483252,-89.692622
0.535211,0.394939,43.487482,-89.692646
0.536211,0.394704,43.491714,-89.69267
0.537211,0.394453,43.495945,-89.692694
0.538211,0.394224,43.500178,-89.692718
0.539211,0.393984,43.504411,-89.692742
0.540211,0.393741,43.508645,-89.692766
0.541211,0.393544,43.512879,-89.692789
0.542211,0.393303,43.517114,-89.692813
0.543211,0.393063,43.52135,-89.692837
0.544211,0.39282,43.525587,-89.692861
0.545211,0.392584,43.529824,-89.692885
0.546211,0.392348,43.534061,-89.692909
0.547211,0.392148,43.5383,-89.692933
0.548211,0.391947,43.542539,-89.692957
0.549211,0.391752,43.546779,-89.692981
0.550211,0.391588,43.551019,-89.693005
0.551211,0.391388,43.55526,-89.693029
0.552211,0.391192,43.559502,-89.693052
0.553211,0.391028,43.563744,-89.693076
0.554211,0.390823,43.567987,-89.6931
0.555211,0.390628,43.572231,-89.693124
0.556211,0.390432,43.576475,-89.693148
0.557211,0.390268,43.58072,-89.693172
0.558211,0.390057,43.584966,-89.693196
0.559211,0.389872,43.589212,-89.69322
0.560211,0.3897,43.593459,-89.693244
0.561211,0.389509,43.597707,-89.693267
0.562211,0.389299,43.601955,-89.693291
0.563211,0.389149,43.606204,-89.693315
0.564211,0.388947,43.610454,-89.693339
0.565211,0.388749,43.614704,-89.693363
0.566211,0.388553,43.618955,-89.693387
0.567211,0.388388,43.623207,-89.693411
0.568211,0.388189,43.627459,-89.693435
0.569211,0.387992,43.631712,-89.693458
0.570211,0.387829,43.635966,-89.693482
0.571211,0.387629,43.64022,-89.693506
0.572211,0.387425,43.644475,-89.69353
0.573211,0.387268,43.64873,-89.693554
0.574211,0.387069,43.652987,-89.693578
0.575211,0.386868,43.657244,-89.693602
0.576211,0.386673,43.661501,-89.693625
0.577211,0.386509,43.665759,-89.693649
0.578211,0.386308,43.670018,-89.693673
0.579211,0.386112,43.674278,-89.693697
0.580211,0.385949,43.678538,-89.693721
0.581211,0.385743,43.682799,-89.693745
0.582211,0.385545,43.687061,-89.693769
0.583211,0.38539,43.691323,-89.693792
0.584211,0.385167,43.695586,-89.693816
0.585211,0.38497,43.699849,-89.69384
0.586211,0.384794,43.704114,-89.693864
0.587211,0.384628,43.708379,-89.693888
0.588211,0.384414,43.712644,-89.693912
0.589211,0.384232,43.71691,-89.693935
0.590211,0.384069,43.721177,-89.693959
0.591211,0.383857,43.725445,-89.693983
0.592211,0.383674,43.729713,-89.694007
0.593211,0.38351,43.733982,-89.694031
