position,TerrainSlope,lon,lat
0.159,10.669858,44.785732,-89.692603
0.16,11.137175,44.790021,-89.692579
0.161,11.52004,44.79431,-89.692556
0.162,11.633364,44.798599,-89.692532
0.163,11.852019,44.802886,-89.692508
0.164,12.166541,44.807173,-89.692485
0.165,12.298197,44.81146,-89.692461
0.166,12.605049,44.815745,-89.692437
0.167,12.914624,44.82003,-89.692414
0.168,13.173099,44.824315,-89.69239
0.169,13.419395,44.828598,-89.692367
0.17,13.619531,44.832881,-89.692343
0.171,14.199609,44.837164,-89.692319
0.172,14.879904,44.841445,-89.692296
0.173,15.383453,44.845726,-89.692272
0.174,15.235557,44.850007,-89.692248
0.175,14.780717,44.854287,-89.692225
0.176,14.608035,44.858566,-89.692201
0.177,14.494003,44.862844,-89.692177
0.178,14.417565,44.867122,-89.692154
0.179,14.474803,44.871399,-89.69213
0.18,14.738978,44.875676,-89.692106
0.181,15.045948,44.879951,-89.692083
0.182,15.343865,44.884226,-89.692059
0.183,15.737072,44.888501,-89.692035
0.184,16.294963,44.892775,-89.692012
0.185,17.156882,44.897048,-89.691988
0.186,17.500708,44.90132,-89.691964
0.187,17.266874,44.905592,-89.691941
0.188,17.120032,44.909864,-89.691917
0.189,16.863064,44.914134,-89.691893
0.19,16.510993,44.918404,-89.69187
0.191,16.327298,44.922673,-89.691846
0.192,16.364246,44.926942,-89.691822
0.193,16.364679,44.93121,-89.691799
0.194,16.14137,44.935477,-89.691775
0.195,15.782027,44.939744,-89.691751
0.195398,15.677996,44.941442,-89.691742
0.196398,14.293226,44.937021,-89.691719
0.197398,13.648593,44.932601,-89.691696
0.198398,13.776863,44.928182,-89.691673
0.199398,13.693705,44.923763,-89.691651
0.200398,13.529044,44.919345,-89.691628
0.201398,13.31159,44.914927,-89.691605
0.202398,13.097878,44.910511,-89.691582
0.203398,13.063691,44.906094,-89.691559
0.204398,13.026841,44.901679,-89.691536
0.205398,13.127747,44.897264,-89.691513
0.206398,13.781831,44.89285,-89.691491
0.207398,14.025505,44.888436,-89.691468
0.208398,13.879931,44.884023,-89.691445
0.209398,14.047718,44.879611,-89.691422
0.210398,13.565708,44.8752,-89.691399
0.211398,12.143313,44.870789,-89.691376
0.212398,11.05475,44.866378,-89.691353
0.213398,10.96615,44.861969,-89.691331
0.214398,10.96472,44.85756,-89.691308
0.215398,11.01333,44.853151,-89.691285
0.216398,10.965953,44.848744,-89.691262
0.217398,10.704197,44.844337,-89.691239
0.218398,10.628515,44.83993,-89.691216
0.219398,10.584651,44.835525,-89.691193
0.220398,10.821802,44.83112,-89.69117
0.221398,11.375598,44.826715,-89.691147
0.222398,11.719248,44.822311,-89.691125
0.223398,11.780589,44.817908,-89.691102
0.224398,11.89498,44.813506,-89.691079
0.225398,11.981013,44.809104,-89.691056
0.226398,11.669741,44.804703,-89.691033
0.227398,11.576691,44.800303,-89.69101
0.228398,11.790479,44.795903,-89.690987
0.229398,11.747503,44.791504,-89.690964
0.230398,11.571373,44.787105,-89.690941
0.231398,11.092177,44.782707,-89.690918
0.232398,10.825718,44.77831,-89.690896
0.233398,10.915789,44.773913,-89.690873
0.234398,10.826623,44.769517,-89.69085
0.235398,10.611766,44.765122,-89.690827
0.236398,10.433898,44.760728,-89.690804
0.237398,10.214838,44.756334,-89.690781
0.238398,10.185563,44.75194,-89.690758
0.239398,10.2599,44.747548,-89.690735
0.240398,11.094074,44.743156,-89.690712
0.241398,13.373936,44.738764,-89.690689
0.242398,14.748195,44.734374,-89.690666
0.243398,14.832232,44.729983,-89.690643
0.244398,14.832335,44.725594,-89.690621
0.245398,15.043341,44.721205,-89.690598
0.246398,15.697336,44.716817,-89.690575
0.247398,15.960976,44.71243,-89.690552
0.248398,15.907864,44.708043,-89.690529
0.249398,15.768555,44.703657,-89.690506
0.250398,15.243856,44.699271,-89.690483
0.251398,14.03114,44.694886,-89.69046
0.252398,13.291112,44.690502,-89.690437
0.253398,13.320434,44.686119,-89.690414
0.254398,13.216736,44.681736,-89.690391
0.255398,13.139232,44.677354,-89.690368
0.256398,13.061406,44.672972,-89.690345
0.257398,12.981216,44.668591,-89.690322
0.258398,12.981755,44.664211,-89.690299
0.259398,12.962624,44.659831,-89.690276
0.260398,13.406375,44.655452,-89.690253
0.261398,14.986973,44.651074,-89.69023
0.262398,16.015905,44.646696,-89.690207
0.263398,15.916321,44.642319,-89.690184
0.264398,15.78422,44.637942,-89.690162
0.265398,16.1947,44.633567,-89.690139
0.266398,17.1391,44.629192,-89.690116
0.267398,17.606466,44.624817,-89.690093
0.268398,17.54936,44.620443,-89.69007
0.269398,17.548668,44.61607,-89.690047
0.270398,17.231028,44.611698,-89.690024
0.271398,16.049461,44.607326,-89.690001
0.272398,15.242073,44.602954,-89.689978
0.273398,15.170828,44.598584,-89.689955
0.274398,15.290323,44.594214,-89.689932
0.275398,15.004852,44.589845,-89.689909
0.276398,14.122267,44.585476,-89.689886
0.277398,13.577227,44.581108,-89.689863
0.278398,13.571471,44.576741,-89.68984
0.279398,13.698339,44.572374,-89.689817
0.280398,13.498463,44.568008,-89.689794
0.281398,13.091768,44.563643,-89.689771
0.282398,12.889434,44.559278,-89.689748
0.283398,12.965817,44.554914,-89.689725
0.284398,13.043382,44.55055,-89.689702
0.285398,13.114638,44.546188,-89.689679
0.286398,13.655516,44.541825,-89.689656
0.287398,14.060227,44.537464,-89.689633
0.288398,13.92434,44.533103,-89.68961
0.289398,13.863772,44.528743,-89.689587
0.290398,13.25721,44.524383,-89.689564
0.291398,11.334777,44.520024,-89.689541
0.292398,10.079775,44.515666,-89.689518
0.293398,10.205442,44.511308,-89.689495
0.294398,10.202925,44.506951,-89.689472
0.295398,9.927165,44.502595,-89.689449
0.296398,10.007639,44.498239,-89.689426
0.297398,9.940687,44.493884,-89.689403
0.298398,9.873956,44.48953,-89.68938
0.299398,9.961085,44.485176,-89.689357
